Error: Release Year Invalid         - show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description
Error: Release Year Invalid         - s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,25-Sep-21,ERROR,PG-13,90 min,Documentaries,As her father nears the end of his life  filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.
Error: No Countries Listed          - s3,TV Show,Ganglands,Julien Leclercq,,24-Sep-21,2021,TV-MA,1 Season,"Crime TV Shows,International TV Shows,TV Action & Adventure",To protect his family from a powerful drug lord  skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.
Error: No Countries Listed          - s4,TV Show,Jailbirds New Orleans,,,24-Sep-21,2021,TV-MA,1 Season,"Docuseries,Reality TV",Feuds  flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.
Error: No Countries Listed          - s6,TV Show,Midnight Mass,Mike Flanagan,,24-Sep-21,2021,TV-MA,1 Season,"TV Dramas,TV Horror,TV Mysteries",The arrival of a charismatic young priest brings glorious miracles  ominous mysteries and renewed religious fervor to a dying town desperate to believe.
Error: No Countries Listed          - s7,Movie,My Little Pony: A New Generation,"Robert Cullen, Jos?? Luis Ucha",,24-Sep-21,2021,PG,91 min,Children & Family Movies,Equestria's divided. But a bright-eyed hero believes Earth Ponies  Pegasi and Unicorns should be pals É?? and  hoof to heart  sheÉ??s determined to prove it.
Error: No Countries Listed          - s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,,24-Sep-21,2021,TV-MA,1 Season,"Crime TV Shows,Docuseries,International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
Error: No Countries Listed          - s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,,23-Sep-21,2021,TV-MA,1 Season,"Crime TV Shows,International TV Shows,TV Action & Adventure",Struggling to earn a living in Bangkok  a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.
Error: No Countries Listed          - s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,,22-Sep-21,2021,TV-PG,91 min,"Children & Family Movies,Comedies",When the clever but socially-awkward Tet?¶ joins a new school  she'll do anything to fit in. But the queen bee among her classmates has other ideas.
Error: No Countries Listed          - s15,TV Show,Crime Stories: India Detectives,,,22-Sep-21,2021,TV-MA,1 Season,"British TV Shows,Crime TV Shows,Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
Error: No Countries Listed          - s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave Garc??a, Pablo Azor??n Williams",,22-Sep-21,2020,TV-MA,67 min,"Documentaries,International Movies",Declassified documents reveal the post-WWII life of Otto Skorzeny  a close Hitler ally who escaped to Spain and became an adviser to world presidents.
Error: No Countries Listed          - s19,Movie,Intrusion,Adam Salky,,22-Sep-21,2021,TV-14,94 min,Thrillers,After a deadly home invasion at a coupleÉ??s new dream house  the traumatized wife searches for answers É?? and learns the real danger is just beginning.
Error: No Countries Listed          - s20,TV Show,Jaguar,,,22-Sep-21,2021,TV-MA,1 Season,"International TV Shows,Spanish-Language TV Shows,TV Action & Adventure",In the 1960s  a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.
Error: No Countries Listed          - s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,22-Sep-21,2021,TV-14,1 Season,"Crime TV Shows,Docuseries,International TV Shows",In the late 1970s  an accused serial rapist claims multiple personalities control his behavior  setting off a legal odyssey that captivates America.
Error: No Countries Listed          - s23,Movie,Avvai Shanmughi,K.S. Ravikumar,,21-Sep-21,1996,TV-PG,161 min,"Comedies,International Movies",Newly divorced and denied visitation rights with his daughter  a doting father disguises himself as a gray-haired nanny in order to spend time with her.
Error: No Countries Listed          - s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",,21-Sep-21,2021,TV-Y,61 min,Children & Family Movies,From arcade games to sled days and hiccup cures  Cory CarsonÉ??s curious little sister Chrissy speeds off on her own for fun and adventure all over town!
Error: No Countries Listed          - s27,Movie,Minsara Kanavu,Rajiv Menon,,21-Sep-21,1997,TV-PG,147 min,"Comedies,International Movies,Music & Musicals",A tangled love triangle ensues when a man falls for a woman studying to become a nun É?? and she falls for the friend he enlists to help him pursue her.
Error: Release Year Invalid         - s29,Movie,Dark Skies,Scott Stewart,United States,19-Sep-21,ERROR,PG-13,97 min,"Horror Movies,Sci-Fi & Fantasy",A familyÉ??s idyllic suburban life shatters when an alien force invades their home  and as they struggle to convince others of the deadly threat.
Error: No Countries Listed          - s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",,17-Sep-21,2021,TV-14,111 min,"Dramas,Independent Movies,International Movies",As big city life buzzes around them  lonely souls discover surprising sources of connection and companionship in three tales of love  loss and longing.
Error: No Countries Listed          - s32,TV Show,Chicago Party Aunt,,,17-Sep-21,2021,TV-MA,1 Season,TV Comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood É?? and a soft spot for her soul-searching nephew.
Error: No Countries Listed          - s34,TV Show,Squid Game,,,17-Sep-21,2021,TV-MA,1 Season,"International TV Shows,TV Dramas,TV Thrillers",Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside  a tempting prize awaits É?? with deadly high stakes.
Error: No Countries Listed          - s35,TV Show,Tayo and Little Wizards,,,17-Sep-21,2020,TV-Y7,1 Season,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
Error: No Countries Listed          - s36,Movie,The Father Who Moves Mountains,Daniel Sandu,,17-Sep-21,2021,TV-MA,110 min,"Dramas,International Movies,Thrillers",When his son goes missing during a snowy hike in the mountains  a retired intelligence officer will stop at nothing É?? and risk everything É?? to find him.
Error: No Countries Listed          - s37,Movie,The Stronghold,C??dric Jimenez,,17-Sep-21,2021,TV-MA,105 min,"Action & Adventure,Dramas,International Movies",Tired of the small-time grind  three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.
Error: No Countries Listed          - s46,Movie,My Heroes Were Cowboys,Tyler Greco,,16-Sep-21,2021,PG,23 min,Documentaries,Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams  training the horses he loves for the big screen.
Error: No Countries Listed          - s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,,16-Sep-21,2020,TV-MA,1 Season,"International TV Shows,Romantic TV Shows,TV Comedies",Five glamorous millennials strive for success as they juggle careers  finances  love and friendships. Based on Arese Ugwu's 2016 best-selling novel.
Error: No Countries Listed          - s65,Movie,Nightbooks,David Yarovesky,,15-Sep-21,2021,TV-PG,103 min,Children & Family Movies,Scary story fan Alex must tell a spine-tingling tale every night É?? or stay trapped with his new friend in a wicked witch's magical apartment forever.
Error: No Countries Listed          - s69,Movie,Schumacher,"Hanns-Bruno Kammert??ns, Vanessa N??cker, Michael Wech",,15-Sep-21,2021,TV-14,113 min,"Documentaries,International Movies,Sports Movies",Through exclusive interviews and archival footage  this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.
Error: No Countries Listed          - s71,TV Show,Too Hot To Handle: Latino,,,15-Sep-21,2021,TV-MA,1 Season,"International TV Shows,Reality TV,Romantic TV Shows",On this reality show  singles from Latin America and Spain are challenged to give up sex. But here  abstinence comes with a silver lining: US$100 000.
Error: No Countries Listed          - s72,Movie,A StoryBots Space Adventure,David A. Vargas,,14-Sep-21,2021,TV-Y,13 min,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
Error: No Countries Listed          - s75,TV Show,The World's Most Amazing Vacation Rentals,,,14-Sep-21,2021,TV-PG,2 Seasons,Reality TV,With an eye for every budget  three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.
Error: No Countries Listed          - s76,Movie,You vs. Wild: Out Cold,Ben Simms,,14-Sep-21,ERROR,TV-G,106 min,Children & Family Movies,After a plane crash leaves Bear with amnesia  he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.
Error: No Countries Listed          - s78,Movie,Little Singham - Black Shadow,Prakash Satam,,11-Sep-21,2021,TV-Y7,48 min,"Children & Family Movies,Comedies",Kid cop Little Singham loses all his superpowers while trying to stop the demon KaalÉ??s new evil plans! Can his inner strength help him defeat the enemy?
Error: No Countries Listed          - s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,,11-Sep-21,2020,TV-14,145 min,"Comedies,Dramas,International Movies",A budding politician has devious plans to rise in the ranks É?? until an unexpected new presence begins to interfere with his every crooked move.
Error: No Countries Listed          - s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,,11-Sep-21,2021,TV-14,145 min,"Comedies,Dramas,International Movies",A budding politician has devious plans to rise in the ranks É?? until an unexpected new presence begins to interfere with his every crooked move.
Error: No Countries Listed          - s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,,10-Sep-21,2021,TV-Y7,93 min,Children & Family Movies,When his home is threatened by humans  a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.
Error: No Countries Listed          - s84,TV Show,Metal Shop Masters,,,10-Sep-21,2021,TV-MA,1 Season,Reality TV,On this competition show  a group of metal artists torch  cut and weld epic  badass creations from hardened steel. Only one will win a $50 000 prize.
Error: No Countries Listed          - s86,TV Show,Pok??mon Master Journeys: The Series,,,10-Sep-21,2021,TV-Y7,1 Season,"Anime Series,Kids' TV",As Ash battles his way through the World Coronation Series  Goh continues his quest to catch every Pok??mon. Together  they're on a journey to adventure!
Error: No Countries Listed          - s87,Movie,Prey,Thomas Sieben,,10-Sep-21,2021,TV-MA,87 min,"International Movies,Thrillers",A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
Error: No Countries Listed          - s88,TV Show,Titipo Titipo,,,10-Sep-21,2019,TV-Y,2 Seasons,"Kids' TV,Korean TV Shows",Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.
Error: No Countries Listed          - s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,,9-Sep-21,2021,PG-13,96 min,"Documentaries,Sports Movies",From a chance meeting to a tragic fallout  Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.
Error: No Countries Listed          - s90,TV Show,Mighty Raju,,,9-Sep-21,2017,TV-Y7,4 Seasons,Kids' TV,Born with superhuman abilities  young Raju wants to use his powers to make the world a better place É?? but that will mean facing plenty of challenges!
Error: No Countries Listed          - s94,Movie,JJ+E,Alexis Almstr??m,,8-Sep-21,2021,TV-MA,91 min,"Dramas,International Movies,Romantic Movies",Elisabeth and John-John live in the same city  but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?
Error: No Countries Listed          - s101,TV Show,Tobot Galaxy Detectives,,,7-Sep-21,2019,TV-Y7,2 Seasons,Kids' TV,An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries  they protect the world from evil.
Error: No Countries Listed          - s103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,,6-Sep-21,2021,TV-14,1 Season,"Docuseries,Science & Nature TV",From training to launch to landing  this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.
Error: No Countries Listed          - s104,Movie,Shadow Parties,Yemi Amodu,,6-Sep-21,2020,TV-MA,117 min,"Dramas,International Movies,Thrillers",A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
Error: No Countries Listed          - s111,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier G??mez Santander",,3-Sep-21,2021,TV-MA,1 Season,"Docuseries,International TV Shows,Spanish-Language TV Shows","The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
Error: No Countries Listed          - s113,Movie,Worth,Sara Colangelo,,3-Sep-21,2021,PG-13,119 min,Dramas,In the wake of the Sept. 11 attacks  a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.
Error: No Countries Listed          - s114,Movie,Afterlife of the Party,Stephen Herek,,2-Sep-21,2021,TV-PG,110 min,"Comedies,Romantic Movies",Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
Error: No Countries Listed          - s120,Movie,Here and There,JP Habac,,2-Sep-21,2020,TV-MA,99 min,"Dramas,International Movies,Romantic Movies",After meeting through a heated exchange on social media  two people with different backgrounds begin an online romance in the midst of a pandemic.
Error: No Countries Listed          - s122,TV Show,Hotel Del Luna,,,2-Sep-21,2019,TV-14,1 Season,"International TV Shows,Romantic TV Shows,TV Comedies",When he's invited to manage a hotel for dead souls  an elite hotelier gets to know the establishment's ancient owner and her strange world.
Error: No Countries Listed          - s124,TV Show,Luv Kushh,,,2-Sep-21,2012,TV-Y7,1 Season,Kids' TV,Based on the last book of the epic Ramayana  this series follows the endeavors and adventures of Lord RamaÉ??s twin sons through their childhood.
Error: No Countries Listed          - s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,,1-Sep-21,2017,PG-13,115 min,"Dramas,International Movies,Thrillers",When a detective investigates the death of his ex-lover's grandfather  he uncovers secrets about the tycoon's manipulative family.
Error: No Countries Listed          - s131,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,,1-Sep-21,2021,TV-Y,63 min,"Children & Family Movies,Music & Musicals",At a summer performing arts program in New York City  Barbie from Malibu meets Barbie from Brooklyn  and the two become fast friends.
Error: No Countries Listed          - s133,TV Show,Brave Animated Series,,,1-Sep-21,2021,TV-MA,1 Season,"International TV Shows,TV Action & Adventure,TV Comedies",A group of superheroes sets out to rid the world of evil É?? only to realize they may not be standing on the side of justice. Based on a popular comic.
Error: No Countries Listed          - s148,TV Show,How to Be a Cowboy,,,1-Sep-21,2021,TV-PG,1 Season,Reality TV,Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive É?? and now he's teaching the world how to cowboy right  ol' son.
Error: No Countries Listed          - s149,TV Show,HQ Barbers,Gerhard Mostert,,1-Sep-21,2020,TV-14,1 Season,TV Shows,When a family run barber shop in the heart of Lagos is threatened by real estate developers  they'll do whatever it takes to stay in business.
Error: No Countries Listed          - s166,TV Show,Oldsters,,,1-Sep-21,2019,TV-MA,1 Season,"Crime TV Shows,International TV Shows,Spanish-Language TV Shows",Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.
Error: No Countries Listed          - s181,Movie,The Nutty Professor II: The Klumps,Peter Segal,,1-Sep-21,2000,PG-13,107 min,"Comedies,Romantic Movies",After getting engaged  Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation.
Error: No Countries Listed          - s182,TV Show,Turning Point: 9/11 and the War on Terror,,,1-Sep-21,2021,TV-14,1 Season,Docuseries,This unflinching series documents the 9/11 terrorist attacks  from Al Qaeda's roots in the 1980s to America's response  both at home and abroad.
Error: No Countries Listed          - s186,Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way",,31-Aug-21,2021,TV-MA,86 min,"Documentaries,Sports Movies",They were the bad boys of hockey É?? a team bought by a man with mob ties  run by his 17-year-old son  and with a rep for being as violent as they were good.
Error: No Countries Listed          - s187,TV Show,Hometown Cha-Cha-Cha,,,29-Aug-21,2021,TV-14,1 Season,"International TV Shows,Romantic TV Shows,TV Comedies",A big-city dentist opens up a practice in a close-knit seaside village  home to a charming jack-of-all-trades who is her polar opposite in every way.
Error: No Countries Listed          - s188,TV Show,The Ingenuity of the Househusband,,,29-Aug-21,2021,TV-G,1 Season,"International TV Shows,TV Comedies",A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.
Error: No Countries Listed          - s190,TV Show,Bread Barbershop,,,28-Aug-21,2020,TV-Y,2 Seasons,"Kids' TV,TV Comedies",In a town filled with food  Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.
Error: No Countries Listed          - s195,TV Show,Deadly Sins,,,27-Aug-21,2002,TV-MA,1 Season,"International TV Shows,Spanish-Language TV Shows,TV Dramas",A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.
Error: No Countries Listed          - s197,Movie,He's All That,Mark Waters,,27-Aug-21,2021,TV-14,92 min,"Comedies,Romantic Movies","An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That."""
Error: No Countries Listed          - s198,TV Show,I Heart Arlo,,,27-Aug-21,2021,TV-Y7,1 Season,"Kids' TV,TV Comedies",It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood É?? and make it their own.
Error: No Countries Listed          - s214,TV Show,RIDE ON TIME,,,27-Aug-21,2021,TV-PG,3 Seasons,"Docuseries,International TV Shows",Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.
Error: No Countries Listed          - s215,Movie,SAS: Rise of the Black Swan,Magnus Martens,,27-Aug-21,2021,R,124 min,"Action & Adventure,International Movies",A special forces operative traveling from London to Paris with his girlfriend takes action when armed  ruthless mercenaries seize control of their train.
Error: No Countries Listed          - s219,TV Show,Titletown High,,,27-Aug-21,2021,TV-14,1 Season,"Reality TV,Teen TV Shows",In a Georgia town where football rules and winning is paramount  a high school team tackles romance  rivalries and real life while vying for a title.
Error: No Countries Listed          - s222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rof??,,25-Aug-21,2021,TV-14,93 min,Documentaries,Bob Ross brought joy to millions as the worldÉ??s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
Error: No Countries Listed          - s223,TV Show,Clickbait,Brad Anderson,,25-Aug-21,2021,TV-MA,1 Season,"Crime TV Shows,TV Dramas,TV Mysteries",When family man Nick Brewer is abducted in a crime with a sinister online twist  those closest to him race to uncover who is behind it and why.
Error: No Countries Listed          - s224,TV Show,John of God: The Crimes of a Spiritual Healer,"Mauricio Dias, Tatiana Villela",,25-Aug-21,2021,TV-MA,1 Season,"Crime TV Shows,Docuseries,International TV Shows",Idolized medium Jo?úo Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors  prosecutors and the press.
Error: No Countries Listed          - s225,TV Show,Motel Makeover,,,25-Aug-21,2021,TV-14,1 Season,"International TV Shows,Reality TV",Amid project pitfalls and a pandemic  besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway.
Error: No Countries Listed          - s226,TV Show,Open Your Eyes,,,25-Aug-21,2021,TV-MA,1 Season,"International TV Shows,TV Dramas,TV Mysteries",After a tragic accident  an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment.
Error: No Countries Listed          - s227,TV Show,Post Mortem: No One Dies in Skarnes,,,25-Aug-21,2021,TV-MA,1 Season,"International TV Shows,TV Comedies,TV Dramas",She's back from the dead and has a newfound thirst for blood. Meanwhile  her family's funeral parlor desperately needs more business. Hmm  what if...
Error: No Countries Listed          - s231,Movie,The River Runner,Rush Sturges,,25-Aug-21,2021,TV-MA,86 min,"Documentaries,Sports Movies",In this documentary  a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash.
Error: No Countries Listed          - s235,TV Show,Oggy Oggy,,,24-Aug-21,2021,TV-Y,1 Season,"Kids' TV,TV Comedies",Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures!
Error: No Countries Listed          - s236,Movie,Untold: Caitlyn Jenner,Crystal Moselle,,24-Aug-21,2021,TV-PG,70 min,"Documentaries,LGBTQ Movies,Sports Movies",Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.
Error: No Countries Listed          - s237,Movie,Boomika,Rathindran R Prasad,,23-Aug-21,2021,TV-14,122 min,"Horror Movies,International Movies,Thrillers",Paranormal activity at a lush  abandoned property alarms a group eager to redevelop the site  but the eerie events may not be as unearthly as they think.
Error: No Countries Listed          - s238,Movie,Boomika (Hindi),Rathindran R Prasad,,23-Aug-21,2021,TV-14,122 min,"Horror Movies,International Movies,Thrillers",Paranormal activity at a lush  abandoned property alarms a group eager to redevelop the site  but the eerie events may not be as unearthly as they think.
Error: No Countries Listed          - s239,Movie,Boomika (Malayalam),Rathindran R Prasad,,23-Aug-21,2021,TV-14,122 min,"Horror Movies,International Movies,Thrillers",Paranormal activity at a lush  abandoned property alarms a group eager to redevelop the site  but the eerie events may not be as unearthly as they think.
Error: No Countries Listed          - s240,Movie,Boomika (Telugu),Rathindran R Prasad,,23-Aug-21,2021,TV-14,122 min,"Horror Movies,International Movies,Thrillers",Paranormal activity at a lush  abandoned property alarms a group eager to redevelop the site  but the eerie events may not be as unearthly as they think.
Error: No Countries Listed          - s241,Movie,The Witcher: Nightmare of the Wolf,Han Kwang Il,,23-Aug-21,2021,TV-MA,84 min,"Action & Adventure,Anime Features",Escaping from poverty to become a witcher  Vesemir slays monsters for coin and glory  but when a new menace rises  he must face the demons of his past.
Error: No Countries Listed          - s243,TV Show,Comedy Premium League,,,20-Aug-21,2021,TV-MA,1 Season,"International TV Shows,TV Comedies",With satirical sketches  cheeky debates and blistering roasts  16 of IndiaÉ??s wittiest entertainers compete in teams to be named the ultimate comedy champs.
Error: No Countries Listed          - s244,TV Show,Everything Will Be Fine,,,20-Aug-21,2021,TV-MA,1 Season,"International TV Shows,Spanish-Language TV Shows,TV Comedies",A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.
Error: No Countries Listed          - s245,Movie,Gunshot,Karim El Shenawy,,20-Aug-21,2018,TV-14,96 min,"Dramas,International Movies,Thrillers",After a clash at a protest ends in bloodshed  a forensic doctor and a journalist embark on a search for the elusive truth.
Error: No Countries Listed          - s246,TV Show,Korean Cold Noodle Rhapsody,,,20-Aug-21,2021,TV-PG,1 Season,"Docuseries,International TV Shows",Refreshing and flavorful  naengmyeon is Korea's coolest summertime staple. A journey through its history begins  from how it's cooked to how it's loved.
Error: No Countries Listed          - s247,Movie,Man in Love,Yin Chen-hao,,20-Aug-21,2021,TV-MA,115 min,"Dramas,International Movies,Romantic Movies",When he meets a debt-ridden woman who's caring for her ailing father  a debt collector with a heart of gold sets out to win her love.
Error: No Countries Listed          - s249,TV Show,The Chair,,,20-Aug-21,2021,TV-MA,1 Season,"TV Comedies,TV Dramas",At a major university  the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department.
Error: No Countries Listed          - s250,Movie,The Loud House Movie,Dave Needham,,20-Aug-21,2021,TV-Y7,88 min,"Children & Family Movies,Comedies,Music & Musicals",With his parents and all 10 sisters in tow  Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey!
Error: No Countries Listed          - s251,Movie,A Faraway Land,Veronica Velasco,,19-Aug-21,2020,TV-PG,102 min,"Dramas,International Movies,Romantic Movies",In the Faroe Islands  a married woman meets a reporter filming a documentary on overseas Filipino workers  which soon sparks a complicated love story.
Error: No Countries Listed          - s253,Movie,Black Island,Miguel Alexandre,,18-Aug-21,2021,TV-MA,105 min,"International Movies,Thrillers",The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.
Error: No Countries Listed          - s256,Movie,Memories of a Murderer: The Nilsen Tapes,Michael Harte,,18-Aug-21,2021,TV-MA,86 min,"Documentaries,International Movies",Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.
Error: No Countries Listed          - s257,Movie,Nneka The Pretty Serpent,Tosin Igho,,18-Aug-21,2020,TV-14,140 min,"Dramas,International Movies",Years after the mysterious murder of her parents  a traumatized woman gains supernatural powers that aid in her quest for revenge against the killers.
Error: No Countries Listed          - s258,Movie,O Kadhal Kanmani,Mani Ratnam,,18-Aug-21,2015,TV-14,133 min,"Dramas,International Movies,Romantic Movies",It's love at first sight for a young couple repelled by the concept of marriage  but their view shifts when they meet their older-couple neighbors.
Error: No Countries Listed          - s259,Movie,Out of my league,Alice Filippi,,18-Aug-21,2020,TV-MA,92 min,"Comedies,Dramas,International Movies",Tired of swiping through the dating scene with her besties in tow  a charming yet awkward woman with a rare genetic disorder sets her sights on love.
Error: No Countries Listed          - s261,TV Show,The Defeated,,,18-Aug-21,2020,TV-MA,1 Season,"Crime TV Shows,International TV Shows,TV Dramas",In 1946 Berlin  an American cop searches for his missing brother while helping a novice German policewoman fight the violent crimes engulfing the city.
Error: No Countries Listed          - s262,Movie,The Secret Diary of an Exchange Student,Bruno Garotti,,18-Aug-21,2021,TV-14,97 min,"Comedies,International Movies,Romantic Movies",Looking to shake things up  two best friends embark on a life-changing adventure abroad as exchange students. But can they stay out of trouble?
Error: No Countries Listed          - s263,Movie,Untold: Deal With the Devil,Laura Brownson,,18-Aug-21,2021,TV-MA,78 min,"Documentaries,LGBTQ Movies,Sports Movies",Christy Martin broke boundaries and noses as she rose in the boxing world  but her public persona belied personal demons  abuse and a threat on her life.
Error: No Countries Listed          - s269,Movie,Unroyal,Moses Inwang,,15-Aug-21,2020,TV-MA,97 min,"Dramas,International Movies",When a rude and arrogant princess finds herself relying on a gatekeeper after a terrible accident  it may be enough to make her change her ways.
Error: No Countries Listed          - s288,TV Show,I Need Romance,Sakon Tiacharoen,,10-Aug-21,2021,TV-14,1 Season,"International TV Shows,Romantic TV Shows,TV Comedies",A workaholic who lost interest in romance reunites with an old flame and gifted music composer  who's determined to restore her belief in love.
Error: No Countries Listed          - s295,Movie,Takizawa Kabuki ZERO 2020 The Movie,Hideaki Takizawa,,7-Aug-21,2020,TV-PG,139 min,"International Movies,Music & Musicals",Superstar Hideaki Takizawa reimagines his acclaimed kabuki production for the screen  featuring the dynamic talents of idol group Snow Man.
Error: No Countries Listed          - s310,TV Show,Car Masters: Rust to Riches,,,4-Aug-21,2021,TV-PG,3 Seasons,Reality TV,The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks  trading up to a showstopper they can sell for big bucks.
Error: No Countries Listed          - s319,Movie,Shiny_Flakes: The Teenage Drug Lord,"Eva M?¨ller, Michael Schmitt",,3-Aug-21,2021,TV-MA,97 min,"Documentaries,International Movies","Max S. reveals how he built a drug empire from his childhood bedroom in this story that inspired the series ""How to Sell Drugs Online (Fast)."""
Error: No Countries Listed          - s321,TV Show,Top Secret UFO Projects: Declassified,,,3-Aug-21,2021,TV-PG,1 Season,Docuseries,Though claims of extraterrestrial encounters have long been dismissed  many believe the existence of UFOs is not just likely  but a certainty.
Error: No Countries Listed          - s332,TV Show,DarwinÉ??s Game,,,1-Aug-21,2020,TV-MA,1 Season,"Anime Series,International TV Shows,TV Thrillers",High schooler Kaname activates a mysterious mobile app and unwittingly joins a game pitting players with supernatural abilities against each other.
Error: No Countries Listed          - s337,TV Show,Friday Night Lights,,,1-Aug-21,2010,TV-14,5 Seasons,"TV Dramas,Teen TV Shows",Eric Taylor faces enormous pressure when he signs on as the new coach of a small-town Texas football team that's poised to win the state championship.
Error: No Countries Listed          - s340,Movie,I missed you: Director's Cut,"Mag Hsu, Hsu Chih-yen",,1-Aug-21,2021,TV-14,96 min,"Dramas,Independent Movies,International Movies",A workaholic reconnects with two men she blocked on social media five years ago and begins to reflect on her past life choices.
Error: No Countries Listed          - s363,Movie,The Lost Caf??,Kenneth Gyang,,31-Jul-21,2018,TV-14,76 min,"Dramas,International Movies",An aspiring filmmaker grapples with her decision to study abroad in Norway when she meets an insightful but peculiar owner of a curious coffee shop.
