Error: Release Year Invalid         - show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description
Error: No Countries Listed          - s2620,Movie,Lembi 8 Giga,Ashraf Fayeq,,28-Apr-20,2010,TV-MA,111 min,"Comedies,International Movies",To upgrade his life  a simple man fakes his credentials as a lawyer when sudden extraordinary abilities give him the talent to thrive.
Error: No Countries Listed          - s2640,TV Show,???Å???? ???????????Ò??,,,25-Apr-20,2019,TV-14,1 Season,"International TV Shows,TV Dramas",A group of women leaves Kuwait to attend university in Cairo  embarking on personal journeys filled with romance and self-discovery.
Error: No Countries Listed          - s2642,TV Show,DreamWorks Spooky Stories: Volume 2,,,24-Apr-20,2011,TV-PG,1 Season,"Kids' TV,TV Comedies","The Shrek characters parody the music video ""Thriller""; B.O.B. and pals battle zombie carrots; and Megamind faces the effects of the Button of Doom."
Error: No Countries Listed          - s2700,TV Show,The Circle France,,,9-Apr-20,2020,TV-MA,1 Season,"International TV Shows,Reality TV",Status and strategy collide in this social media competition where online players flirt  befriend and catfish their way toward 100 000 euros.
Error: No Countries Listed          - s2740,TV Show,Pok??mon the Series,,,1-Apr-20,2019,TV-Y7,3 Seasons,"Anime Series,Kids' TV",Ash and his Pikachu travel to the Alola region with his mother and enroll in the Pok??mon school  where they confront the nefarious Team Skull.
Error: No Countries Listed          - s2753,TV Show,Bal Ganesh,Vijay S. Bhanushali,,31-Mar-20,2019,TV-Y7,1 Season,Kids' TV,Watch Ganesh destroy demons  disarm invaders and defeat dacoits in this series based on the mythological Hindu elephant godÉ??s childhood.
Error: No Countries Listed          - s2760,TV Show,Tree House Tales,,,31-Mar-20,2019,TV-Y,1 Season,Kids' TV,From the virtue of politeness to the dangers of social media  life is full of valuable lessons for a group of friends navigating the journey of growing up.
Error: No Countries Listed          - s2773,TV Show,Wassup Man GO!,,,27-Mar-20,2020,TV-MA,1 Season,"International TV Shows,Korean TV Shows,Reality TV",Famously unfiltered star Joon Park goes to Los Angeles for an audition É?? and for a colorful  totally personal romp through the city he calls home.
Error: No Countries Listed          - s2775,TV Show,7SEEDS,,,26-Mar-20,2020,TV-MA,2 Seasons,"Anime Series,International TV Shows",Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together  they have to survive on a changed Earth.
Error: No Countries Listed          - s2786,TV Show,Barbie Dreamhouse Adventures: Go Team Roberts,,,21-Mar-20,2020,TV-Y,2 Seasons,Kids' TV,As the Roberts family heads to Costa Rica to investigate a mermaid legend  Barbie takes on a summer job at a water park run by a devious boss.
Error: No Countries Listed          - s2788,TV Show,Archibald's Next Big Thing,,,20-Mar-20,2020,TV-Y7,2 Seasons,"Kids' TV,TV Comedies",Happy-go-lucky chicken Archibald may not remember to do his chores  but he never forgets to have fun. After all  life's an adventure!
Error: No Countries Listed          - s2812,Movie,Digs & Discoveries: All Track's Lead to Rome,Joey So,,15-Mar-20,2019,TV-Y,23 min,Children & Family Movies,After being introduced to Italy's ancient history  Thomas sets out to prove his expertise until his curiosity lands him in trouble in an old mine.
Error: No Countries Listed          - s2813,Movie,Digs & Discoveries: Mines of Mystery,Joey So,,15-Mar-20,2019,TV-Y,23 min,Children & Family Movies,Amidst Italy's ancient sites and hidden treasures  Thomas is inspired to make his own special discovery  sending him on a journey to find a lost legend.
Error: No Countries Listed          - s2815,Movie,Steam Team to the Rescue,Joey So,,15-Mar-20,2019,TV-Y,23 min,Children & Family Movies,Thomas and the steam trains spring into action when Porter and the diesel engines run into a series of accidents that throw their deliveries off track.
Error: No Countries Listed          - s2832,Movie,Alakada Reloaded,Toyin Abraham,,6-Mar-20,2017,TV-MA,104 min,"Comedies,International Movies",To cope with her feelings of inferiority  a woman from an impoverished family tells tall tales of her wealth and influence to upgrade her social status.
Error: No Countries Listed          - s2841,Movie,Angu Vaikuntapurathu (Malayalam),Trivikram Srinivas,,5-Mar-20,2020,TV-14,162 min,"Action & Adventure,Comedies,Dramas",After growing up enduring criticism from his father  a young man finds his world shaken upon learning he was switched at birth with a millionaireÉ??s son.
Error: No Countries Listed          - s2858,TV Show,Calico Critters Mini Episodes Clover,,,1-Mar-20,2020,TV-Y,1 Season,Kids' TV,From throwing parties to planning fashion shows  the Hopscotch Rabbit Family is ready to leap into the daily adventures of their sweet town.
Error: No Countries Listed          - s2859,Movie,Calico Critters: Everyone's Big Dream Flying in the Sky,Momoko Kamiya,,1-Mar-20,2019,TV-Y,11 min,Children & Family Movies,In the Hazelnut Chipmunk Family  Dominic is a little boy who loves to play  but a big moment will make him more grown-up on one memorable day.
Error: No Countries Listed          - s2865,Movie,Velvet Colecci??n: Grand Finale,Gustavo Ron,,1-Mar-20,2020,TV-14,82 min,"Dramas,International Movies,Romantic Movies",During Christmas 1969  the impending sale of Velvet reunites past and present staff in Madrid for fond remembrances  second chances and new beginnings.
Error: No Countries Listed          - s2885,Movie,The Visit,Oyefunke Fayoyin,,26-Feb-20,2015,TV-MA,138 min,"Dramas,Independent Movies,International Movies",The lives of uptight  conservative Chidi and Eugenia are thrown into disarray when a loudmouthed  hard-partying new couple moves in next door.
Error: No Countries Listed          - s2894,TV Show,Passion. Panache. Pep,,,21-Feb-20,2020,TV-G,1 Season,"International TV Shows,Reality TV",From delicious delicacies to dream destinations  this collection features vibrant stories on cultural trends across food  fashion and travel in India.
Error: No Countries Listed          - s2910,Movie,Monster High: Electrified,Avgousta Zourelidi,,15-Feb-20,2017,TV-Y,72 min,Movies,"Clawdeen wants to turn an abandoned power station into a salon for monsters and ""normies"" alike. But Moanica's got a shocking plan to ruin everything."
Error: No Countries Listed          - s2923,TV Show,Palazuelos mi rey,,,13-Feb-20,2019,TV-14,1 Season,"International TV Shows,Reality TV,Spanish-Language TV Shows",This reality series follows entrepreneur and soap opera star Roberto Palazuelos as he builds his hotel empire and juggles riches  women and drama.
Error: No Countries Listed          - s2943,TV Show,My Holo Love,,,7-Feb-20,2020,TV-14,1 Season,"International TV Shows,Korean TV Shows,Romantic TV Shows",Unexpected love finds a lonely woman when she forms a connection with a humanlike hologram who looks exactly like his prickly creator.
Error: No Countries Listed          - s2983,TV Show,Find Yourself,,,29-Jan-20,2020,TV-14,1 Season,"International TV Shows,Romantic TV Shows,TV Comedies",A determined entrepreneur navigates a love triangle between a young charmer and an older executive  leading her down an unconventional path to love.
Error: No Countries Listed          - s2992,TV Show,Rise of Empires: Ottoman,,,24-Jan-20,2020,TV-MA,1 Season,Docuseries,Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.
Error: No Countries Listed          - s3031,TV Show,The Healing Powers of Dude,,,13-Jan-20,2020,TV-G,1 Season,"Kids' TV,TV Comedies,TV Dramas",When an 11-year-old boy with social anxiety disorder starts middle school  he finds strength in a scruffy emotional support dog named Dude.
Error: No Countries Listed          - s3057,TV Show,Chhota Bheem Kung Fu Dhamaka Series,,,1-Jan-20,2019,TV-Y7,1 Season,Kids' TV,From kung fu battles to run-ins with bandits  life in an empire far away from home is an endless adventure for Chhota Bheem and his buddies.
Error: No Countries Listed          - s3065,Movie,Luccas Neto in: Children's Day,Lucas Margutti,,1-Jan-20,2019,TV-G,81 min,"Children & Family Movies,Comedies,Music & Musicals",When Luccas Neto plans a big Children's Day celebration  an unexpected threat at school puts the party É?? and his friends É?? at risk.
Error: No Countries Listed          - s3073,Movie,Riot,John Lyde,,1-Jan-20,2015,TV-MA,88 min,Action & Adventure,Seeking vengeance for the murder of his wife  a cop robs a bank in order to be thrown into prison with the Russian kingpin who ruined his life.
Error: No Countries Listed          - s3084,TV Show,Pucca: Love Recipe,,,31-Dec-19,2018,TV-Y7,1 Season,"Kids' TV,Korean TV Shows",Faced with a threat to the survival of her family restaurant  as well as a rival for Garu's heart  Pucca fights for all that she loves.
Error: No Countries Listed          - s3087,TV Show,The Degenerates,,,31-Dec-19,2019,TV-MA,2 Seasons,"Stand-Up Comedy & Talk Shows,TV Comedies",Six stand-ups explore the coarse and salacious side of comedy in this series of half-hour specials. For mature audiences.
Error: No Countries Listed          - s3094,Movie,The Vendor,Odunlade Adekola,,27-Dec-19,2018,TV-MA,103 min,"Comedies,International Movies",A newspaper seller bemoans his lack of success but is undermined by his own laziness when he gets a better job as a driver and finds his rich father.
Error: No Countries Listed          - s3114,Movie,Falz Experience,Falz,,20-Dec-19,2018,TV-MA,82 min,"International Movies,Music & Musicals",Playing multiple characters  from lawyer to preacher  Nigerian artist Falz combines cinema with a concert after his successful 2017 end-of-year show.
Error: No Countries Listed          - s3116,Movie,The First Lady,Omoni Oboli,,20-Dec-19,2015,TV-MA,107 min,"Dramas,International Movies",Dreaming of a better life  an imperiled prostitute crosses paths with a wealthy company heir whoÉ??s been transformed into a child by his evil uncle.
Error: No Countries Listed          - s3139,Movie,Holy Expectations,Fernando Ayll??n,,15-Dec-19,2019,TV-14,89 min,"Children & Family Movies,Comedies,International Movies",With a short life expectancy  a young girl uses faith and her vivid imagination to navigate adversity and create a story that impacts all around her.
Error: No Countries Listed          - s3155,Movie,Seven and a half dates,Biodun Stephen,,13-Dec-19,2018,TV-14,107 min,"Dramas,International Movies,Romantic Movies",Engrossed in her career  a young woman reluctantly yields to her father's plan to set her up on 10 dates to find a suitable husband.
Error: No Countries Listed          - s3157,Movie,Zero Hour,Robert O. Peters,,13-Dec-19,2018,TV-MA,89 min,"International Movies,Thrillers",After his father passes  the heir to a retail empire returns to take over the family business but faces a controversy involving laundering and murder.
Error: No Countries Listed          - s3168,Movie,Celebrity Marriage,Pascal Amanfo,,6-Dec-19,2017,TV-14,107 min,"Dramas,International Movies",A successful actress with an abusive husband confides in friends who have troubling relationship issues of their own.
Error: No Countries Listed          - s3178,TV Show,Triad Princess,,,6-Dec-19,2019,TV-MA,1 Season,"Crime TV Shows,International TV Shows,Romantic TV Shows",After jostling her way into a gig as a celebrity bodyguard  the boisterous daughter of a powerful triad boss shakes up a TV star's life and finds love.
Error: No Countries Listed          - s3200,TV Show,Space Jungle,,,1-Dec-19,2016,TV-Y,2 Seasons,"Kids' TV,Korean TV Shows,TV Comedies",A broken spaceship strands four very tiny aliens on Earth  where they discover an adventure (and strange dangers!) that they never expected.
Error: No Countries Listed          - s3214,Movie,Lagos Real Fake Life,Mike Ezuruonye,,29-Nov-19,2018,TV-MA,118 min,"Comedies,International Movies",Two mooching friends vie for the attention of wealthy  beautiful women only to discover that their lavish lifestyles are bogus.
Error: No Countries Listed          - s3217,TV Show,The Charming Stepmom,,,29-Nov-19,2019,TV-14,1 Season,"International TV Shows,Romantic TV Shows,TV Comedies",A quirky fashion student becomes the nanny of a handsome widowerÉ??s three kids  experiencing a series of silly antics and schemes.
Error: No Countries Listed          - s3226,Movie,Little Singham: Mahabali,Prakash Satam,,27-Nov-19,2019,TV-Y7,69 min,"Children & Family Movies,Comedies",In a journey back in time to the ancient city of Mirchigadh  Little Singham vies for the title of Ultimate Warrior and fights a zombie kingÉ??s army.
Error: No Countries Listed          - s3232,Movie,True: Winter Wishes,,,26-Nov-19,2019,TV-Y,46 min,Children & Family Movies,An ice crystal from a frosty realm is freezing everything in the Rainbow Kingdom  its citizens too! Can True save Winter Wishfest É?? and her friends?
Error: No Countries Listed          - s3258,TV Show,Miss Culinary,,,19-Nov-19,2019,TV-14,1 Season,"International TV Shows,Romantic TV Shows,TV Comedies",After ditching her domestic life to become a chef  a clueless maid crosses paths with two charming suitors who help her reach her dreams.
Error: No Countries Listed          - s3285,TV Show,Westside Story,,,15-Nov-19,2003,TV-14,1 Season,"International TV Shows,Romantic TV Shows,TV Action & Adventure",Spirited high school misfits with hearts of gold begin their journeys into adulthood as they navigate school  friendship  romance and heartbreak.
Error: No Countries Listed          - s3347,Movie,The House of Flowers Presents: The Funeral,Manolo Caro,,1-Nov-19,2019,TV-MA,36 min,Movies,The de la Mora siblings publicly mourn the death of their mother amid multiple surprises and mishaps at Virginia's funeral.
Error: No Countries Listed          - s3358,TV Show,Sleepless Society: Bedtime Wishes,,,31-Oct-19,2019,TV-MA,1 Season,"Crime TV Shows,International TV Shows,TV Dramas",During a holiday stay at a hotel resort  a flight attendant encounters a wealthy  mysterious man with two different personas.
Error: No Countries Listed          - s3362,TV Show,Tunnel,,,30-Oct-19,2019,TV-14,1 Season,"Crime TV Shows,International TV Shows,TV Dramas",A detective finds himself 30 years in the future and must solve a string of grisly crimes before he can return to the past.
Error: No Countries Listed          - s3377,Movie,My Next Guest with David Letterman and Shah Rukh Khan,Michael Steed,,25-Oct-19,2019,TV-PG,61 min,International Movies,"""King of Bollywood"" Shah Rukh Khan opens up about his rise to fame  his family and his billions of fans as he and Dave meet up in Mumbai and New York."
Error: No Countries Listed          - s3391,Movie,Little Singham: Kaal Ki Tabaahi,Prakash Satam,,19-Oct-19,2019,TV-Y7,66 min,"Children & Family Movies,Comedies",Kaal is back É?? bigger and badder than ever! Can Little Singham fight the battle of a lifetime to stop the demonÉ??s plans to wreak havoc on earth?
Error: No Countries Listed          - s3394,TV Show,"ChuChu TV Kids Songs, Learning Videos & Bedtime Stories",,,18-Oct-19,2019,TV-Y,1 Season,Kids' TV,This educational series for tiny tots features a toe-tapping spin on nursery rhymes with upbeat tunes and a diverse set of easy-to-follow lessons.
Error: No Countries Listed          - s3395,Movie,ChuChuTV Bedtime Stories & Moral Stories for Kids (English),,,18-Oct-19,2019,TV-Y,47 min,Children & Family Movies,ChuChu teaches some bullies a lesson  Cussly learns the value of teamwork and ChaCha realizes thereÉ??s more to playtime than TV and video games.
Error: No Countries Listed          - s3396,Movie,ChuChuTV Bedtime Stories & Moral Stories for Kids (Hindi),,,18-Oct-19,2019,TV-Y,56 min,Children & Family Movies,In this collection of stories  ChuChu and her pals meet a man in need  Chiku must change a bad habit and ChaCha gets a lesson in management.
Error: No Countries Listed          - s3397,Movie,ChuChuTV Surprise Eggs Learning Videos (English),,,18-Oct-19,2019,TV-Y,61 min,Children & Family Movies,From colors and letters to animals of all kinds  each egg holds a fun-filled lesson waiting to be learned. ChuChu and friends are opening them all!
Error: No Countries Listed          - s3398,Movie,ChuChuTV Surprise Eggs Learning Videos (Hindi),,,18-Oct-19,2019,TV-Y,34 min,Children & Family Movies,Magic elephant Mr. Harlo uses playtime to help the children discover various surprises hidden inside colorful eggs.
Error: No Countries Listed          - s3400,Movie,In My Country,Frank Rajah Arase,,18-Oct-19,2018,TV-MA,99 min,"Dramas,International Movies",A teacher turns to a dubious man to raise money for her daughter's life-saving surgery  a crisis that is unexpectedly catapulted to a national stage.
Error: No Countries Listed          - s3405,TV Show,MONKART,,,18-Oct-19,2017,TV-Y7,1 Season,"Kids' TV,Korean TV Shows",Jin and his dragon monster Draka set out on a racing adventure and try to save the kingdom from evil forces.
Error: No Countries Listed          - s3436,TV Show,Beyblade Burst Turbo,,,10-Oct-19,2018,TV-Y7,1 Season,"Anime Series,Kids' TV",Yearning to earn the title of world blading champion  a novice competitor must harness his untamed potential through training and tournaments.
Error: No Countries Listed          - s3437,Movie,GEN HOSHINO STADIUM TOUR É??POP VIRUSÉ?ù,Naoto Amazutsumi,,10-Oct-19,2019,TV-14,154 min,"International Movies,Music & Musicals",Singer-songwriter Gen Hoshino takes the stage at the sold out Tokyo Dome in his highly anticipated 2019 Pop Virus dome tour.
Error: No Countries Listed          - s3456,TV Show,Super Monsters,,,4-Oct-19,2019,TV-Y,3 Seasons,Kids' TV,Preschool kids whose parents are the world's most famous monsters try to master their special powers while preparing for kindergarten.
Error: No Countries Listed          - s3470,Movie,Little Baby Bum: Go Buster,,,1-Oct-19,2019,TV-Y,58 min,Children & Family Movies,This compilation for preschoolers features a peppy young bus and his first life experiences where bumps in the road won't stop him from a fun ride.
Error: No Countries Listed          - s3480,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,Mana Yasuda,,28-Sep-19,2019,TV-PG,45 min,"Documentaries,International Movies",An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki UniversityÉ??s Aqua Culture Research Institute.
Error: No Countries Listed          - s3493,Movie,Oh! Baby (Malayalam),B. V. Nandini Reddy,,25-Sep-19,2019,TV-14,146 min,"Comedies,International Movies,Music & Musicals",A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.
Error: No Countries Listed          - s3494,Movie,Oh! Baby (Tamil),B. V. Nandini Reddy,,25-Sep-19,2019,TV-14,146 min,"Comedies,International Movies,Music & Musicals",A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.
Error: No Countries Listed          - s3502,TV Show,Criminal: France,,,20-Sep-19,2019,TV-MA,1 Season,"Crime TV Shows,International TV Shows,TV Dramas",Secrets emerge and entire cases unravel inside a police interview room in Paris  where suspects and investigators face off in an intricate dance.
Error: No Countries Listed          - s3525,TV Show,Top Boy,,,13-Sep-19,2019,TV-MA,1 Season,"British TV Shows,Crime TV Shows,International TV Shows",Two seasoned drug dealers return to the gritty streets of London  but their pursuit of money and power is threatened by a young and ruthless hustler.
Error: No Countries Listed          - s3540,TV Show,Loo Loo Kids: Johny & Friends Musical Adventures,,,1-Sep-19,2016,TV-Y,1 Season,Kids' TV,Music-loving baby Johny goes on dance-filled adventures with his family  friends and adorable critters in this colorful  animated preschooler series.
Error: No Countries Listed          - s3548,Movie,Back to School,"R??my Four, Julien War",,30-Aug-19,2019,TV-MA,84 min,"Comedies,International Movies",Eager to flaunt their success in front of old bullies and teenage crushes  two best friends spend a wild night at their middle school reunion.
